Maturity (Years),Execution Date,Horizon (Years),Metric,Value
9.0,1989-12-01,2.0,R-Squared,-0.5170325634566579
9.0,1989-12-01,3.0,RMSE,0.006044810253517458
9.0,1989-12-01,3.0,R-Squared,0.32287560054474107
9.0,1989-12-01,4.0,RMSE,0.009062722864940094
9.0,1989-12-01,4.0,R-Squared,0.32431512105489024
9.0,1989-12-01,5.0,RMSE,0.008723051623585387
9.0,1989-12-01,5.0,R-Squared,0.2902698550006584
10.0,1989-12-01,0.5,RMSE,0.007689913254861127
10.0,1989-12-01,0.5,R-Squared,-12.556101729573518
10.0,1989-12-01,1.0,RMSE,0.008439232457226619
10.0,1989-12-01,1.0,R-Squared,-8.934529846158078
10.0,1989-12-01,2.0,RMSE,0.007071670707328433
10.0,1989-12-01,2.0,R-Squared,-1.152258016451904
10.0,1989-12-01,3.0,RMSE,0.006146840497418387
10.0,1989-12-01,3.0,R-Squared,0.14591590902167995
10.0,1989-12-01,4.0,RMSE,0.008437525059887966
10.0,1989-12-01,4.0,R-Squared,0.35880963429008705
10.0,1989-12-01,5.0,RMSE,0.00816501461990377
10.0,1989-12-01,5.0,R-Squared,0.3211898864924032
0.08333,1990-09-01,0.5,RMSE,
0.08333,1990-09-01,0.5,R-Squared,
0.08333,1990-09-01,1.0,RMSE,
0.08333,1990-09-01,1.0,R-Squared,
0.08333,1990-09-01,2.0,RMSE,
0.08333,1990-09-01,2.0,R-Squared,
