Maturity (Years),Execution Date,Horizon (Years),Metric,Value
4.0,1989-11-01,4.0,RMSE,0.014871133037926783
4.0,1989-11-01,4.0,R-Squared,-0.09246398507644082
4.0,1989-11-01,5.0,RMSE,0.014281921310907743
4.0,1989-11-01,5.0,R-Squared,-0.1367992592964844
5.0,1989-11-01,0.5,RMSE,0.006670174751919717
5.0,1989-11-01,0.5,R-Squared,-2.2080806768207184
5.0,1989-11-01,1.0,RMSE,0.005853152757965798
5.0,1989-11-01,1.0,R-Squared,-2.641072488809578
5.0,1989-11-01,2.0,RMSE,0.005051220348825857
5.0,1989-11-01,2.0,R-Squared,0.2723808789231629
5.0,1989-11-01,3.0,RMSE,0.007979100332962227
5.0,1989-11-01,3.0,R-Squared,0.3273713974269602
5.0,1989-11-01,4.0,RMSE,0.012195907882380322
5.0,1989-11-01,4.0,R-Squared,0.10381455823723018
5.0,1989-11-01,5.0,RMSE,0.011791266682443966
5.0,1989-11-01,5.0,R-Squared,0.066433375763292
6.0,1989-11-01,0.5,RMSE,0.006714085530015811
6.0,1989-11-01,0.5,R-Squared,-2.406963525056281
6.0,1989-11-01,1.0,RMSE,0.006131515923634369
6.0,1989-11-01,1.0,R-Squared,-3.241144891790639
6.0,1989-11-01,2.0,RMSE,0.005034191634009261
6.0,1989-11-01,2.0,R-Squared,0.16692088126268045
6.0,1989-11-01,3.0,RMSE,0.00727350225578917
6.0,1989-11-01,3.0,R-Squared,0.36160345110301984
6.0,1989-11-01,4.0,RMSE,0.011351892411199549
6.0,1989-11-01,4.0,R-Squared,0.15786578832945375
6.0,1989-11-01,5.0,RMSE,0.011011589853375045
6.0,1989-11-01,5.0,R-Squared,0.12064593649960109
7.0,1989-11-01,0.5,RMSE,0.006803287412764464
7.0,1989-11-01,0.5,R-Squared,-2.6676948458884806
7.0,1989-11-01,1.0,RMSE,0.006502340424837972
7.0,1989-11-01,1.0,R-Squared,-3.935896204218982
7.0,1989-11-01,2.0,RMSE,0.005164455963457707
7.0,1989-11-01,2.0,R-Squared,-0.023142631342756514
7.0,1989-11-01,3.0,RMSE,0.006588501373452842
7.0,1989-11-01,3.0,R-Squared,0.39263264600671854
7.0,1989-11-01,4.0,RMSE,0.01043998303142295
