execution_date,date,residual
1989-10-01,1957-03-01,0.15080712192111134
1989-10-01,1957-02-01,0.24491894572161232
1989-10-01,1957-01-01,-0.844405831322418
1989-10-01,1956-12-01,0.5156843801726074
1989-10-01,1956-11-01,0.4125640728907314
1989-10-01,1956-10-01,-0.25622105096385894
1989-10-01,1956-09-01,0.3983592805404219
1989-10-01,1956-07-01,0.6544032481648617
1989-10-01,1963-03-01,-0.2613486428843863
1989-10-01,1958-12-01,0.3132054231491711
1989-10-01,1971-11-01,-0.20405161524841658
1989-10-01,1969-09-01,1.8648452661452053
1989-10-01,1969-07-01,-0.5417563623938011
1989-10-01,1969-06-01,3.085705517377531
1989-10-01,1969-05-01,0.5812800274280758
1989-10-01,1969-04-01,0.7044916726251976
1989-10-01,1969-03-01,-0.7860603880550636
1989-10-01,1969-02-01,0.72663788803247
1989-10-01,1969-01-01,-0.4667489922007797
1989-10-01,1968-12-01,0.8888926931010984
1989-10-01,1968-11-01,-0.3857345000070266
1989-10-01,1968-10-01,-0.5396728946823054
1989-10-01,1968-09-01,-0.11745620713701221
1989-10-01,1968-08-01,-0.7094127709613782
1989-10-01,1968-07-01,-0.6275520221499786
1989-10-01,1968-06-01,0.8897884126712183
1989-10-01,1968-05-01,-0.6835118263985394
1989-10-01,1968-04-01,1.0102909115942178
1989-10-01,1968-03-01,-0.0289992726750139
1989-10-01,1968-02-01,0.2601942100150072
1989-10-01,1968-01-01,-0.6290267145773125
1989-10-01,1967-12-01,0.7736810139885768
1989-10-01,1967-11-01,-0.35894710830450083
1989-10-01,1967-10-01,0.3814025601021047
1989-10-01,1969-10-01,-0.571233435866966
1989-10-01,1967-09-01,0.5934927152828715
1989-10-01,1969-11-01,-0.01942861848717703
1989-10-01,1970-01-01,0.24830405695165547
1989-10-01,1971-12-01,-0.11256697846137237
1989-10-01,1963-04-01,0.04432595662585159
1989-10-01,1971-10-01,-1.8707294627178632
1989-10-01,1971-09-01,0.3903970329562494
1989-10-01,1971-08-01,-1.3077715967756167
1989-10-01,1971-07-01,0.01219982374367623
1989-10-01,1971-06-01,2.285561679666399
1989-10-01,1971-05-01,-0.645410833104548
1989-10-01,1971-04-01,3.202790855474254
1989-10-01,1971-03-01,-0.26345804372638404
1989-10-01,1971-02-01,-2.102835325950149
1989-10-01,1971-01-01,-0.8973919682108781
1989-10-01,1970-12-01,-0.17847572148828483
1989-10-01,1970-11-01,-2.6897357822927246
1989-10-01,1970-10-01,-1.3554085310694082
1989-10-01,1970-09-01,-0.1540930162604972
1989-10-01,1970-08-01,-0.9515812691727819
1989-10-01,1970-07-01,-0.14678743750351497
1989-10-01,1970-06-01,1.4301229858381137
1989-10-01,1970-05-01,-0.5169805912382519
1989-10-01,1970-04-01,0.8503777196956492
1989-10-01,1970-03-01,-0.17515670227859292
1989-10-01,1970-02-01,-0.34342381954950607
1989-10-01,1969-12-01,0.7415419681376751
1989-10-01,1967-08-01,0.9111616282464803
1989-10-01,1969-08-01,0.6674988921561211
1989-10-01,1963-06-01,-0.28635511182721896
1989-10-01,1965-04-01,-0.058664106416080775
1989-10-01,1965-03-01,-0.10153996240158507
1989-10-01,1965-02-01,-0.04938650417297438
1989-10-01,1965-01-01,-0.35021266632984427
1989-10-01,1964-12-01,-0.5617384927273305
1989-10-01,1964-11-01,0.11289077458800173
1989-10-01,1964-10-01,0.05271230471387278
1989-10-01,1964-09-01,0.07795837510662648
1989-10-01,1964-08-01,0.07455460240117982
1989-10-01,1964-06-01,-0.28102939188177073
1989-10-01,1964-05-01,-0.21714009360701025
1989-10-01,1964-04-01,-0.11587520419996922
1989-10-01,1964-03-01,0.4862437225523414
1989-10-01,1964-02-01,0.16192818636066925
1989-10-01,1964-01-01,-0.32937237820257603
1989-10-01,1963-12-01,0.30868145415721987
1989-10-01,1963-11-01,0.20822571272379553
1989-10-01,1963-10-01,-0.17152359920487517
1989-10-01,1963-09-01,-0.23469234259028085
1989-10-01,1963-08-01,-0.17011994823391713
1989-10-01,1963-07-01,0.22081733480795324
1989-10-01,1967-07-01,0.00986056227122667
1989-10-01,1963-05-01,-0.1797874225168246
1989-10-01,1965-05-01,-0.1734911657150185
1989-10-01,1965-06-01,-0.1855375451573935
1989-10-01,1964-07-01,-0.4906581006795715
1989-10-01,1965-08-01,0.08126620729351547
1989-10-01,1967-06-01,1.2091701669060904
1989-10-01,1965-07-01,0.09677529778953206
1989-10-01,1967-04-01,0.6775077367273887
1989-10-01,1967-03-01,-1.0767754542950163
1989-10-01,1967-02-01,0.08106313139471644
1989-10-01,1967-01-01,-0.5744008012840571
1989-10-01,1966-12-01,-0.2428920118638509
1989-10-01,1966-11-01,0.211374920277559
1989-10-01,1966-10-01,0.005375895437849998
1989-10-01,1966-09-01,-0.6547577689361117
1989-10-01,1966-08-01,2.0010466629712735
1989-10-01,1966-07-01,0.4420393733631549
1989-10-01,1967-05-01,0.7257803179920654
1989-10-01,1966-05-01,0.980957620135501
1989-10-01,1966-04-01,-0.12303353207532686
1989-10-01,1966-03-01,0.5891949918490607
1989-10-01,1966-02-01,-0.3888692356834329
1989-10-01,1966-01-01,-0.1839802855231174
1989-10-01,1965-12-01,1.7249823867887832
1989-10-01,1965-11-01,0.13561596031515966
1989-10-01,1965-10-01,-0.11583034123067537
1989-10-01,1965-09-01,0.3146273297941762
1989-10-01,1966-06-01,0.40787162541195743
1989-11-01,1977-12-01,-0.35548424221865194
1989-11-01,1978-01-01,0.013691722044028465
1989-11-01,1978-02-01,0.22487268114800063
1989-11-01,1978-03-01,0.3317302403900326
1989-11-01,1978-07-01,1.1614417762982718
1989-11-01,1978-05-01,0.17619692319188918
1989-11-01,1978-06-01,0.9610108529877572
1989-11-01,1977-11-01,-0.09887305795467527
1989-11-01,1978-08-01,-1.1018768180624932
1989-11-01,1978-04-01,1.4206692715920566
1989-11-01,1977-10-01,0.6989714761539552
1989-11-01,1977-05-01,-0.694023121173438
1989-11-01,1977-08-01,0.11885210946009694
1989-11-01,1977-07-01,0.07073773350699167
1989-11-01,1977-06-01,-0.6226770987548401
1989-11-01,1977-04-01,-0.42608653873165697
1989-11-01,1977-03-01,-0.5226349788471016
1989-11-01,1977-02-01,-0.7383003456060935
1989-11-01,1977-01-01,0.8701964716185608
1989-11-01,1976-12-01,-0.45617085715626415
1989-11-01,1976-11-01,-1.5339568199213576
1989-11-01,1978-09-01,-0.35846815573581603
1989-11-01,1977-09-01,-0.1809809615218705
1989-11-01,1978-10-01,1.9257543222545617
1989-11-01,1980-11-01,0.5415150694754658
1989-11-01,1978-12-01,1.4096164832596445
1989-11-01,1976-10-01,-1.4160108810286112
1989-11-01,1980-10-01,0.935959026091632
1989-11-01,1980-09-01,-0.30636635796599077
1989-11-01,1980-08-01,2.8529581957959236
1989-11-01,1980-07-01,-0.5825507179353007
1989-11-01,1980-06-01,-1.8240525659434788
1989-11-01,1980-05-01,-1.5721185251470726
1989-11-01,1980-04-01,-4.920430153097833
1989-11-01,1980-03-01,0.5442019655810029
1989-11-01,1980-02-01,6.972947781133593
1989-11-01,1980-01-01,0.14209325467742517
1989-11-01,1979-12-01,-2.267118153835933
1989-11-01,1979-11-01,-2.1701708544224902
1989-11-01,1979-10-01,2.0792817287243253
1989-11-01,1979-09-01,-0.06702744772851599
1989-11-01,1979-08-01,0.4159664767327156
1989-11-01,1979-07-01,0.048434695213152024
1989-11-01,1979-06-01,-0.9116193550544015
1989-11-01,1979-05-01,-1.2111527932246429
1989-11-01,1979-04-01,-0.018776380538030324
1989-11-01,1979-03-01,-0.46086060852173727
1989-11-01,1979-02-01,0.5218284674954217
1989-11-01,1979-01-01,-1.213551281804473
1989-11-01,1978-11-01,-0.01535467951039804
1989-11-01,1976-09-01,-0.9094053264868402
1989-11-01,1972-05-01,-0.5100945218210109
1989-11-01,1976-07-01,-1.0720942425797892
1989-11-01,1974-03-01,1.5544370689430567
1989-11-01,1974-02-01,-0.6388470348650497
1989-11-01,1974-01-01,-1.47609011492227
1989-11-01,1973-12-01,-1.3991588771878156
1989-11-01,1973-11-01,-0.2950856988139192
1989-11-01,1973-10-01,-1.2298475464471672
1989-11-01,1973-09-01,0.48693734138879424
1989-11-01,1973-08-01,-3.2599750227196704
1989-11-01,1973-07-01,2.334307106964043
1989-11-01,1973-06-01,0.0623901527305914
1989-11-01,1973-05-01,-1.6847330310397646
1989-11-01,1973-04-01,-0.1326362085429209
1989-11-01,1973-03-01,0.41084539600702574
1989-11-01,1973-02-01,1.1324990712158625
1989-11-01,1973-01-01,0.10730487214152618
1989-11-01,1972-12-01,0.1770491764073343
1989-11-01,1972-11-01,-0.3686339741228577
1989-11-01,1972-10-01,-0.3032550947261463
1989-11-01,1972-09-01,0.28642618223779537
1989-11-01,1972-08-01,-0.5575158697548035
1989-11-01,1972-07-01,0.2919796037548157
1989-11-01,1972-06-01,1.4190751965821535
1989-11-01,1980-12-01,-4.789808473403259
1989-11-01,1974-04-01,0.6980760950328795
1989-11-01,1976-08-01,-0.983192345303573
1989-11-01,1974-05-01,1.320819823568398
1989-11-01,1974-07-01,0.5051403761206599
1989-11-01,1976-06-01,-0.6587548210108485
1989-11-01,1976-05-01,1.1023172225769022
1989-11-01,1976-04-01,-0.036208764851730635
