execution_date,mse,r_squared,rmse,maturity
1993-01-01,0.7698757056090806,-0.674513412343317,0.877425612578685,9.0 years
1993-02-01,0.4630468763815837,0.012413268369141806,0.6804754781633088,9.0 years
1993-03-01,0.4793204845931453,-0.004846820433340282,0.6923297513419059,9.0 years
1993-04-01,0.5032470805913721,-0.03909342503775326,0.7093990982453897,9.0 years
1993-05-01,0.5202821224941332,-0.04791998483877724,0.7213058453209243,9.0 years
1993-06-01,0.8711099264978774,-0.721432499749348,0.9333326987188852,9.0 years
1993-07-01,0.7922876232224703,-0.5394477228089938,0.8901054000636499,9.0 years
1993-08-01,2.851532238082712,-4.335266010182235,1.6886480503890418,9.0 years
1993-09-01,3.323924430576207,-4.680798794372086,1.8231633033209633,9.0 years
1993-10-01,2.5575583639328827,-3.097966896251166,1.5992368067090261,9.0 years
1993-11-01,0.9025399176966088,-0.3516446212707587,0.9500210090816986,9.0 years
1993-12-01,0.9596760311126528,-0.3451315156724868,0.9796305584824581,9.0 years
1994-01-01,1.2411603778589189,-0.6442810957738117,1.114073775770222,9.0 years
1994-02-01,0.83999667250084,-0.0885565801514645,0.9165133236897541,9.0 years
1994-03-01,1.0353392757177955,-0.31929538675030567,1.0175162287245327,9.0 years
1994-04-01,1.217393111228561,-0.5491070432265133,1.1033553875468054,9.0 years
1994-05-01,1.3035028183163841,-0.6828971992124497,1.1417104792005652,9.0 years
1994-06-01,1.4432591167972477,-0.9169761648013179,1.2013571978380317,9.0 years
1994-07-01,1.3467865962134833,-0.8282302550206357,1.1605113511782137,9.0 years
1994-08-01,1.4037376305791331,-0.9573717633031127,1.1847943410479023,9.0 years
1994-09-01,1.7531551480672838,-1.590723955105343,1.3240676523755437,9.0 years
1994-10-01,1.9841729189136232,-2.1890841872395406,1.408606729684912,9.0 years
1994-11-01,2.1261899493942886,-2.789316714527668,1.4581460658638725,9.0 years
1994-12-01,2.0781610976030236,-3.092622114474797,1.441582844516063,9.0 years
1995-01-01,1.8917405945420298,-3.0125273540055577,1.3754056109170232,9.0 years
1995-02-01,1.5871838117946817,-2.528875624122899,1.2598348351250976,9.0 years
1995-03-01,1.6117702280872694,-2.8024054582256315,1.2695551299913168,9.0 years
1995-04-01,1.5087562443517002,-2.732566016457517,1.228314391494173,9.0 years
1995-05-01,0.9469950891363648,-1.340657359198584,0.9731367268459067,9.0 years
1995-06-01,0.8762265710440988,-1.1693572559544783,0.9360697468907425,9.0 years
1995-07-01,1.032222708782809,-1.5784275709296387,1.0159836163948752,9.0 years
1995-08-01,0.9289616033472968,-1.3295441599004154,0.9638265421471318,9.0 years
1995-09-01,0.8527612323148175,-1.1425584121091745,0.9234507200250686,9.0 years
1995-10-01,0.7463451093738462,-0.8735009600873938,0.8639126746227573,9.0 years
1995-11-01,0.6117988888924485,-0.5252025790515655,0.7821757404141658,9.0 years
1995-12-01,0.5776118756647127,-0.4109398956094259,0.7600078128971522,9.0 years
1996-01-01,0.5933716457848874,-0.42057147072402845,0.770306202613537,9.0 years
1996-02-01,0.8398952937722137,-0.9407080656351869,0.9164580152806858,9.0 years
1996-03-01,1.0038392376416458,-1.2692733320266578,1.001917779880987,9.0 years
1996-04-01,1.2444543608098375,-1.8661743979595649,1.1155511466579366,9.0 years
1996-05-01,1.4019179103287185,-2.348280305801837,1.1840261442758426,9.0 years
1996-06-01,1.329816678894635,-2.2682991464094275,1.1531767769490657,9.0 years
1996-07-01,1.4378875977844052,-2.6119261000371803,1.1991195093836164,9.0 years
1996-08-01,1.6193942647503305,-3.201026194993414,1.2725542286088756,9.0 years
1996-09-01,1.5084059732009052,-2.887027114571186,1.2281718011747809,9.0 years
1996-10-01,1.3267284757177376,-2.2022605601483694,1.1518370004986547,9.0 years
1996-11-01,1.1519702673267886,-1.7141784858951183,1.0732987782191818,9.0 years
1996-12-01,1.4684019718494845,-2.507719190892251,1.2117763703957445,9.0 years
1997-01-01,1.555977231313157,-2.7899069602097324,1.247388163850033,9.0 years
1997-02-01,1.6448863775426306,-3.095766163721735,1.2825312384275989,9.0 years
1997-03-01,1.9850184143727707,-4.347862904316004,1.4089068153617437,9.0 years
1997-04-01,1.8634240104439306,-4.316816720662833,1.3650728956520712,9.0 years
1997-05-01,1.8506736070961196,-4.579998562078718,1.3603946512303404,9.0 years
1997-06-01,1.7576239765191237,-4.4704211503010125,1.3257541161614863,9.0 years
1997-07-01,1.3752437091997343,-3.137288439438092,1.1727078533035131,9.0 years
1997-08-01,1.7711891730238238,-4.094730112147905,1.330860313114725,9.0 years
1997-09-01,1.6790554022251774,-3.2433301661629432,1.2957837019445713,9.0 years
1997-10-01,1.5017320877750626,-2.4957032123463336,1.2254517892496068,9.0 years
