horizon,mse,r_squared,rmse,maturity
48,7.978530498532076,0.19294372711869556,2.8246292674494606,5.0 years
49,8.207590951079478,0.17067510771791716,2.864889343601159,5.0 years
50,8.421090521233884,0.15007666997655722,2.901911528843339,5.0 years
51,8.642371518752519,0.12864575334779382,2.9397910671938097,5.0 years
52,8.919510739589898,0.10151547135204275,2.9865549952394814,5.0 years
53,9.218343854836286,0.07217871590965885,3.036172566708995,5.0 years
54,9.50508832791677,0.04410103582489122,3.0830323267712862,5.0 years
55,9.80040507392358,0.015280612919175152,3.130559865890378,5.0 years
56,10.095437567627556,-0.013436053029119543,3.1773318315258727,5.0 years
57,10.360233315985367,-0.039132669831751565,3.218731631556966,5.0 years
58,10.634108564727612,-0.0656938768740758,3.260998093333943,5.0 years
59,10.88327180567113,-0.08974125634334285,3.298980419109991,5.0 years
60,11.137225417620083,-0.11425874758477095,3.337248180405539,5.0 years
1,0.08367192225005474,0.9767020034605789,0.2892609933089056,6.0 years
2,0.18847309530552603,0.9471630750940732,0.4341348814660324,6.0 years
3,0.287760897283262,0.9188895185731705,0.5364334975402468,6.0 years
4,0.3891844766116866,0.8898536829411217,0.6238465168706856,6.0 years
5,0.4870392809005779,0.8618483744783582,0.6978819964009516,6.0 years
6,0.5767417679225452,0.8361606171965741,0.759435163738515,6.0 years
7,0.6600247142374188,0.8123743977835656,0.8124190508828673,6.0 years
8,0.7476925762661972,0.786886923350247,0.8646921858477716,6.0 years
9,0.8450110817904743,0.7581906737479025,0.9192448432221278,6.0 years
10,0.9507294382248486,0.7271225139348083,0.9750535565930973,6.0 years
11,1.0520579741879663,0.697622582200232,1.0256987736114178,6.0 years
12,1.1543906309955292,0.6681285809016952,1.074425721488242,6.0 years
13,1.2637394646304572,0.6365679663960542,1.1241616719273333,6.0 years
14,1.359124929694922,0.609121109285959,1.1658151353001565,6.0 years
15,1.4466989491486189,0.5836233624639926,1.2027879901082397,6.0 years
16,1.5206343789116379,0.5624577647452706,1.2331400483771655,6.0 years
17,1.5954213222790286,0.5409457106036689,1.2630998861052234,6.0 years
18,1.668928933728629,0.5202549118216664,1.2918703238826368,6.0 years
19,1.7451227063827102,0.49886486261276297,1.321030925596638,6.0 years
20,1.812918028479637,0.4798464811863711,1.346446444712762,6.0 years
21,1.887871585056381,0.45831737195438504,1.3739983933965794,6.0 years
22,1.9435835117166687,0.44223990776434907,1.3941246399503413,6.0 years
23,1.990364521499204,0.42901563899582806,1.4108027932702727,6.0 years
24,2.05383782378365,0.409987227433002,1.4331217058518269,6.0 years
25,2.1220908699990657,0.3878107559588716,1.4567398086134207,6.0 years
26,2.1862006262977443,0.365377513507838,1.4785806120390408,6.0 years
27,2.247184233019366,0.3431089928468588,1.499061117172801,6.0 years
28,2.3067104509332177,0.32013389667969117,1.5187858476207954,6.0 years
29,2.3654905552293815,0.29786758368276445,1.5380151349155773,6.0 years
30,2.4302095151347705,0.2731583348605927,1.5589129273743196,6.0 years
31,2.494467054241267,0.24581185973188202,1.579388189851142,6.0 years
32,2.544866703697368,0.22084851510139436,1.5952638351374258,6.0 years
33,2.6011418292529727,0.19185298952535423,1.6128055770157086,6.0 years
34,2.6709098810484293,0.1576879106522744,1.634291859200317,6.0 years
35,2.7402334932432066,0.12451267270044819,1.6553650634356176,6.0 years
36,2.8111227629481843,0.09284472950746481,1.6766403200890119,6.0 years
37,2.876249667669269,0.06213252532989222,1.695950962636971,6.0 years
38,2.9352138859117742,0.03389677657392565,1.713246592266208,6.0 years
39,2.9856814433545344,0.012879754387205566,1.7279124524565863,6.0 years
40,3.03080146391931,-0.006162499422339929,1.7409197178271345,6.0 years
41,3.0712122702957445,-0.025004970773344848,1.7524874522505844,6.0 years
42,3.109255844522198,-0.04270826844001219,1.763308210303065,6.0 years
43,3.145889154773385,-0.05979200672244378,1.7736654573998405,6.0 years
44,3.1715455742882463,-0.07227774479630411,1.7808833690863213,6.0 years
45,3.1922004062330327,-0.08169008770691444,1.7866729992455341,6.0 years
46,3.212507440599826,-0.09039758318995306,1.792346908553092,6.0 years
47,3.2307202323920667,-0.09797689917877417,1.7974204384038996,6.0 years
48,3.254899156340419,-0.1102351551660854,1.8041339075413496,6.0 years
49,3.278746643295229,-0.12460496109129982,1.8107309693312337,6.0 years
50,3.303174778909963,-0.141871489187108,1.817463831527319,6.0 years
51,3.34000427903312,-0.1656126178363293,1.8275678589407072,6.0 years
52,3.3787029926836607,-0.1891844439443826,1.8381248577514153,6.0 years
53,3.4217071403159043,-0.2156997493723587,1.8497857011870062,6.0 years
54,3.4760923478228025,-0.2485033687188274,1.8644281557149909,6.0 years
55,3.5175289922653485,-0.2749135408474863,1.8755076625450904,6.0 years
56,3.54440358692132,-0.2931127310253303,1.8826586485396974,6.0 years
57,3.564495153413644,-0.3070570859014472,1.8879870638893805,6.0 years
58,3.5925236680084134,-0.3275327468508471,1.8953953856671735,6.0 years
59,3.626788975096788,-0.35123811675029715,1.9044130263933787,6.0 years
60,3.6646153090903835,-0.3780690783268905,1.9143184972962006,6.0 years
1,0.1417512294027486,0.9870665380159866,0.3764986446227245,7.0 years
2,0.3215774251989513,0.970704756631276,0.5670779710048269,7.0 years
